janus;1;Janus;planned dual space probe mission to asteroids;skos:altLabel(Janus mission)
prenzlau-observatory;1;Prenzlau observatory;Public observatory in Prenzlau;
infrared-optical-telescope-array;1;Infrared Optical Telescope Array;Former observatory in Santa Cruz County, Arizona;skos:altLabel(Telescopio optico infrarrojo)
drake-municipal-observatory;1;Drake Municipal Observatory;astronomical observatory in Des Moines, Iowa, USA;skos:altLabel(Drake Observatory)
parkes-12-metre-telescope;1;Parkes 12-metre telescope;;
byurakan-observatory;1;Byurakan Observatory;observatory;skos:altLabel(Biurakanske astrofyzikalne observatorium) skos:altLabel(.    ) skos:altLabel(Byurakan Astrophysical Observatory) skos:altLabel(Observatorio Astrofisico de Byurakan) skos:altLabel(Observatori astrofisic de Biurakan)
progress-m-um;1;Progress M-UM;modified Progress spacecraft used to deliver the Prichal module to the ISS;skos:altLabel(M-UM) skos:altLabel(Progress MS-UM)
san-pere-observatory;1;San Pere observatory;;
albanya-observatory;1;Albanya Observatory;;
montjoia-observatory;1;Montjoia observatory;;
arecibo-12m-radio-telescope;1;Arecibo 12m radio telescope;radio telescope located at Arecibo Observatory, 12 meters in size;
arecibo-observatory;1;Arecibo Observatory;observatory located in the municipality of Arecibo, Puerto Rico;skos:altLabel(Thie Rollageydys Arecibo) skos:altLabel(Ulusal Astronomi ve Iyonosfer Merkezi) skos:altLabel(Centro Nacional de Astronomia e Ionosfera) skos:altLabel(William-E.-Gordon-Teleskop) skos:altLabel(Arecibo Observatory) skos:altLabel(Arecibo Ionosphere Observatory) skos:altLabel(National Astronomy and Ionosphere Center) skos:altLabel(NAIC)
north-cupola-of-brno-observatory-and-planetarium;1;North cupola of Brno Observatory and Planetarium;;skos:altLabel(kupole Prirodovedecke fakulty Masarykovy univerzity)
south-cupola-of-brno-observatory-and-planetarium;1;South cupola of Brno Observatory and Planetarium;;
chara-array;1;CHARA array;optical interferometer,;skos:altLabel(CHARA) skos:altLabel(CHARA array)
calar-alto-observatory;1;Calar Alto Observatory;astronomical observatory in Almeria, Spain;skos:altLabel(Centro Astronomico Hispano en Andalucia) skos:altLabel(CAHA) skos:altLabel(Observatoire de calar alto) skos:altLabel(Spanish Astronomical Centre in Andalusia) skos:altLabel(Calar-Alto-Observatoire) skos:altLabel(Calar Alto Observatory) skos:altLabel(Observatorio de calar alto) skos:altLabel(DSAZ) skos:altLabel(Centro Astronomico Hispano-Aleman) skos:altLabel(Deutsch-Spanisches Astronomisches Zentrum) skos:altLabel(Calar Alto)
caltech-submillimeter-observatory;1;Caltech Submillimeter Observatory;decommissioned radio telescope in Hawaii, USA;"skos:altLabel(Caltech Submillimeter Observatory) skos:altLabel(  """") skos:altLabel(Caltech Submillimeter Observatorium)"
intercosmos-8;1;Intercosmos 8;;skos:altLabel(Intercosmos 8) skos:altLabel(Interkosmos 8)
geophysical-research-satellite;1;Geophysical Research Satellite;American research satellite;skos:altLabel(GRS)
chang-e-7;1;Chang'e 7;Planned Chinese lunar exploration mission;skos:altLabel( 7)
canadafrancehawaii-telescope;1;CanadaFranceHawaii Telescope;observatory;skos:altLabel(Telescopi de Canada, Franca, Hawaii) skos:altLabel(Observatoire Canada-France-Hawaii) skos:altLabel(Kanadsko-francouzsko-havajsky teleskop) skos:altLabel(Canada France Hawaii Telescope) skos:altLabel(--) skos:altLabel(Canada-France-Hawaii Telescope) skos:altLabel(Telescope Canada-France-Hawaii) skos:altLabel(Telescope Canada-France-Hawai) skos:altLabel( CFHT) skos:altLabel(Observatoire canada-france-hawaii) skos:altLabel(Canada-France-Hawaii-Telescope) skos:altLabel(CanadaFranceHawaii Telescope,:CFHT) skos:altLabel(CFHT,CanadaFranceHawaii Telescope) skos:altLabel(Tcfh) skos:altLabel(Kanadsko-Francouzsko-Havajsky teleskop) skos:altLabel(Telescope Canada-France Hawai) skos:altLabel(CFHT)
valinhos-observatory;1;Valinhos Observatory;astronomical observatory;skos:altLabel(Abrahao de Moraes observatory) skos:altLabel(Observatorio abrahao de moraes)
anwar-damha-observatory;1;Anwar Damha observatory;;
frei-rosario-astronomical-observatory;1;Frei Rosario Astronomical Observatory;;skos:altLabel(OAFR) skos:altLabel(Observatorio astronomico frei rosario)
astronomical-observatory-dietrich-schiel;1;Astronomical Observatory Dietrich Schiel;Astronomical Observatory at Sao Carlos, Brasil;skos:altLabel(Astronomical Observatory of USP) skos:altLabel(Centro de Divulgacao de Astronomia) skos:altLabel(Observatorio Astronomico da USP em Sao Carlos)
armacao-dos-buzios;1;Armacao dos Buzios;;
brusque-observatory;1;Brusque observatory;;skos:altLabel(Observatorio astronomico de brusque)
observatorio-municipal-de-americana;1;Observatorio Municipal de Americana;;
observatorio-municipal-de-campinas-jean-nicolini;1;Observatorio Municipal de Campinas Jean Nicolini;;
alberto-do-monaco-observatory;1;Alberto do Monaco observatory;;
wilcox-solar-observatory;1;Wilcox Solar Observatory;A synoptic solar telescope located on the Stanford University campus;skos:altLabel(WSO) skos:altLabel(Wilcox Solar Observatory) skos:altLabel(Stanford Solar Observatory)
astronomical-observatory-in-alto-da-se;1;Astronomical Observatory in Alto da Se;;skos:altLabel(Observatorio astronomico do alto da se)
sao-paulo-observatory;1;Sao Paulo Observatory;;
hanggao-observatory;1;Hanggao Observatory;;skos:altLabel(Hanggao Astronomical Observatory)
proton-1;1;Proton 1;;
proton-2;1;Proton 2;;
scout-g-1;1;Scout G-1;American solid-propellant space launch vehicle;skos:altLabel(Scout G1)
resurs-dk1;1;Resurs-DK1;Earth observation satellite from Russia;skos:altLabel(-1) skos:altLabel(Pamela-Experiment) skos:altLabel(DK1) skos:altLabel(DK)
mars-7;1;Mars 7;unmanned USSR spaceprobe;skos:altLabel(3MP No.51P)
philae;1;Philae;robotic European Space Agency lander that accompanied the Rosetta spacecraft;skos:altLabel(Rosetta Lander) skos:altLabel(Landaren Philae) skos:altLabel(Philae lander) skos:altLabel(Philae) skos:altLabel(Romsonden Philae)
luna-25;1;Luna 25;Russian lunar lander, lost after an engine overburn and resulting crash on the lunar surface;skos:altLabel(25) skos:altLabel(--1) skos:altLabel(Luna-Glob) skos:altLabel(Luna-Glob Lander) skos:altLabel(-) skos:altLabel(Luna-Glob 2) skos:altLabel(Luna-25) skos:altLabel(Luna Glob) skos:altLabel(una-Gob) skos:altLabel(Luna-Glob 1)
zond-7;1;Zond 7;1969 Soviet test spaceflight to the Moon;
salyut-5;1;Salyut 5;Soviet space station launched in 1976;skos:altLabel(Salyut 5) skos:altLabel(OPS-3)
cygnus-ng-16;1;Cygnus NG-16;cargo resupply mission to the International Space Station;skos:altLabel(NG-16) skos:altLabel(Antares NG-16) skos:altLabel(OA-16) skos:altLabel(CRS OA-16) skos:altLabel(Cygnus PCM-17) skos:altLabel(S.S. Ellison Onizuka)
hat-creek-radio-observatory;1;Hat Creek Radio Observatory;observatory;skos:altLabel(HCRO) skos:altLabel(Berkeley Illinois Maryland Association)
cms-01;1;CMS-01;Indian communication satellite;
cygnus-ng-17;1;Cygnus NG-17;cargo resupply mission to the International Space Station;skos:altLabel(S.S. Piers Sellers) skos:altLabel(NG-17) skos:altLabel(Antares NG-17) skos:altLabel(Cygnus PCM-17) skos:altLabel(CRS OA-17) skos:altLabel(OA-17)
montpellier-astronomical-observatory;1;Montpellier Astronomical Observatory;astronomical observatory;
