star;1;Star;Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#%2A) skos:exactMatch(http://astrothesaurus.org/uat/1634)
ma-star;2;Ma*;Massive Star or its Remnant;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Ma%2A) skos:exactMatch(http://astrothesaurus.org/uat/732)
puls-v-star-b-cep;3;PulsV*bCep;beta Cep Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#bC%2A) skos:exactMatch(http://astrothesaurus.org/uat/148)
sg-star;3;SG*;Evolved Supergiant;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#sg%2A) skos:exactMatch(http://astrothesaurus.org/uat/1661)
red-sg-star;4;RedSG*;Red Supergiant;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#s%2Ar) skos:exactMatch(http://astrothesaurus.org/uat/1375)
yellow-sg-star;4;YellowSG*;Yellow Supergiant;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#s%2Ay) skos:exactMatch(http://astrothesaurus.org/uat/522)
blue-sg-star;4;BlueSG*;Blue Supergiant;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#s%2Ab) skos:exactMatch(http://astrothesaurus.org/uat/431)
wr-star;5;WR*;Wolf-Rayet;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#WR%2A) skos:exactMatch(http://astrothesaurus.org/uat/1806)
neutron-star;3;Neutron*;Neutron Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#N%2A) skos:exactMatch(http://astrothesaurus.org/uat/1108)
pulsar;4;Pulsar;Pulsar;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Psr) skos:exactMatch(http://astrothesaurus.org/uat/1306)
yso;2;YSO;Young Stellar Object;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Y%2AO) skos:exactMatch(http://astrothesaurus.org/uat/1834)
orion-v-star;3;Orion_V*;Orion Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Or%2A)
ttau-star;3;TTau*;T Tauri Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#TT%2A) skos:exactMatch(http://astrothesaurus.org/uat/1681)
ae-star;3;Ae*;Herbig Ae/Be Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Ae%2A) skos:exactMatch(http://astrothesaurus.org/uat/723)
outflow;3;Outflow;Outflow;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#out) skos:exactMatch(http://astrothesaurus.org/uat/1636)
hh;4;HH;Herbig-Haro Object;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#HH) skos:exactMatch(http://astrothesaurus.org/uat/722)
ms-star;2;MS*;Main Sequence Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#MS%2A) skos:exactMatch(http://astrothesaurus.org/uat/1000)
be-star;3;Be*;Be Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Be%2A) skos:exactMatch(http://astrothesaurus.org/uat/142)
blue-straggler;3;BlueStraggler;Blue Straggler;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#BS%2A) skos:exactMatch(http://astrothesaurus.org/uat/168)
puls-v-star-sx;4;pulsV*SX;SX Phe Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#SX%2A) skos:exactMatch(http://astrothesaurus.org/uat/1673)
gamma-dor;3;gammaDor;gamma Dor Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#gD%2A) skos:exactMatch(http://astrothesaurus.org/uat/2101)
puls-v-star-del-sct;3;PulsV*delSct;delta Sct Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#dS%2A) skos:exactMatch(http://astrothesaurus.org/uat/370)
ev-star;2;Ev*;Evolved Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Ev%2A) skos:exactMatch(http://astrothesaurus.org/uat/481)
rg-b-star;3;RGB*;Red Giant Branch star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#RG%2A) skos:exactMatch(http://astrothesaurus.org/uat/1372)
hot-subdwarf;3;HotSubdwarf;Hot Subdwarf;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#HS%2A)
hb-star;3;HB*;Horizontal Branch Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#HB%2A) skos:exactMatch(http://astrothesaurus.org/uat/746)
rr-lyr;4;RRLyr;RR Lyrae Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#RR%2A) skos:exactMatch(http://astrothesaurus.org/uat/1410)
puls-v-star-wvir;3;PulsV*WVir;Type II Cepheid Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#WV%2A) skos:exactMatch(http://astrothesaurus.org/uat/1784)
cepheid;3;Cepheid;Cepheid Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Ce%2A) skos:exactMatch(http://astrothesaurus.org/uat/218)
delta-cep;4;deltaCep;Classical Cepheid Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#cC%2A) skos:exactMatch(http://astrothesaurus.org/uat/368)
c-star;3;C*;Carbon Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#C%2A) skos:exactMatch(http://astrothesaurus.org/uat/199)
s-star;3;S*;S Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#S%2A) skos:exactMatch(http://astrothesaurus.org/uat/1421)
lpv-star;3;LPV*;Long-Period Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#LP%2A) skos:exactMatch(http://astrothesaurus.org/uat/935)
agb-star;3;AGB*;Asymptotic Giant Branch Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#AB%2A) skos:exactMatch(http://astrothesaurus.org/uat/2100)
mira;4;Mira;Mira Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Mi%2A) skos:exactMatch(http://astrothesaurus.org/uat/1066)
