	Stars					UAI name
1634	*	*?	Star 	http://astrothesaurus.org/uat/1634		Stars
732	  [Ma*]        	[Ma?] 	Massive Star or its Remnant               	http://astrothesaurus.org/uat/732		Massive stars
148	     bC*       	[bC?] 	beta Cep Variable                         	http://astrothesaurus.org/uat/148		Beta Cepheid variable stars
1661;774	     sg*       	 sg?  	Evolved Supergiant                        	http://astrothesaurus.org/uat/1661;774	Hypergiant=774	Supergiant stars, hypergiant
1375	       s*r     	 s?r  	Red Supergiant                            	http://astrothesaurus.org/uat/1375		Red supergiant stars
522;561	       s*y     	 s?y  	Yellow Supergiant                         	http://astrothesaurus.org/uat/522;561		F/G supergiant stars
431	       s*b     	 s?b  	Blue Supergiant                           	http://astrothesaurus.org/uat/431		Early-type supergiant stars
1806	         WR*   	 WR?  	Wolf-Rayet                                	http://astrothesaurus.org/uat/1806		Wolf-rayet stars
944	         ...             		Luminous Blue Variable    Maintype = s*b and SpT like LBV	http://astrothesaurus.org/uat/944		Luminous Blue Variable
1108	     N*        	 N*?  	Neutron Star                              	http://astrothesaurus.org/uat/1108		Neutron stars
1306	       Psr     	      	Pulsar                                    	http://astrothesaurus.org/uat/1306		Pulsars
1834	   Y*O         	 Y*?  	Young Stellar Object                      	http://astrothesaurus.org/uat/1834		
1290	  {pr*}        	{pr?} 	Pre-Main Sequence Star                    	http://astrothesaurus.org/uat/1290		
0	     Or*       	      	Orion Variable                            	http://astrothesaurus.org/uat/0		
553	       FU*     	      	FU Ori Variable                           	http://astrothesaurus.org/uat/553		
1681	     TT*       	 TT?  	T Tauri Star                              	http://astrothesaurus.org/uat/1681		
723	     Ae*       	 Ae?  	Herbig Ae/Be Star                         	http://astrothesaurus.org/uat/723		
1636	     out       	 of?  	Outflow                                   	http://astrothesaurus.org/uat/1636		
722	       HH      	      	Herbig-Haro Object                        	http://astrothesaurus.org/uat/722		
241	    {cir}      	      	Circumstellar Matter                      	http://astrothesaurus.org/uat/241		
1000	  [MS*]        	[MS?] 	Main Sequence Star                        	http://astrothesaurus.org/uat/1000		
142	     Be*       	 Be?  	Be Star                                   	http://astrothesaurus.org/uat/142		
168	     BS*       	 BS?  	Blue Straggler                            	http://astrothesaurus.org/uat/168		
1673	      {SX*}    	      	SX Phe Variable                           	http://astrothesaurus.org/uat/1673		
2101	     gD*       	      	gamma Dor Variable                        	http://astrothesaurus.org/uat/2101		
370	     dS*       	      	delta Sct Variable                        	http://astrothesaurus.org/uat/370		
481	  [Ev*]        	[Ev*] 	Evolved Star                              	http://astrothesaurus.org/uat/481		
1372	     RG*       	 RB?  	Red Giant Branch star                     	http://astrothesaurus.org/uat/1372		
0	     HS*       	 HS?  	Hot Subdwarf                              	http://astrothesaurus.org/uat/0	Subdwarf=2054… or 0, B, A subdwarfs !	
746	     HB*       	 HB?  	Horizontal Branch Star                    	http://astrothesaurus.org/uat/746		
1410	       RR*     	 RR?  	RR Lyrae Variable                         	http://astrothesaurus.org/uat/1410		
0	       ...     	      	Red Clump Star	http://astrothesaurus.org/uat/0	Red clump=1370	
1784	     WV*       	[WV?] 	Type II Cepheid Variable                  	http://astrothesaurus.org/uat/1784	BL Her=157	
218	     Ce*       	 Ce?  	Cepheid Variable                          	http://astrothesaurus.org/uat/218		
368	       cC*     	      	Classical Cepheid Variable                	http://astrothesaurus.org/uat/368		
199	     C*        	 C*?  	Carbon Star                               	http://astrothesaurus.org/uat/199		
1421	     S*        	 S*?  	S Star                                    	http://astrothesaurus.org/uat/1421		
2100	     AB*       	 AB?  	Asymptotic Giant Branch Star              	http://astrothesaurus.org/uat/2100		
1066	       Mi*     	 Mi?  	Mira Variable                             	http://astrothesaurus.org/uat/1066		
0	       ...     	      	O-rich AGB Star                           	http://astrothesaurus.org/uat/0		
1156	     OH*       	 OH?  	OH/IR Star                                	http://astrothesaurus.org/uat/1156		
1301	     pA*       	 pA?  	Post-AGB Star                             	http://astrothesaurus.org/uat/1301	called pre-planetary nebula in UAT	
1418	     RV*       	 RV?  	RV Tauri Variable                         	http://astrothesaurus.org/uat/1418		
1249	     PN        	 PN?  	Planetary Nebula                          	http://astrothesaurus.org/uat/1249		
1799	     WD*       	 WD?  	White Dwarf                               	http://astrothesaurus.org/uat/1799		
1847	      {ZZ*}    	      	Pulsating White Dwarf                     	http://astrothesaurus.org/uat/1847		
226	   Pe*         	 Pec? 	Chemically Peculiar Star                  	http://astrothesaurus.org/uat/226		
27	     a2*       	[a2?] 	alpha2 CVn Variable                       	http://astrothesaurus.org/uat/27		
220	    {CH*}      	{CH?} 	CH Star                                   	http://astrothesaurus.org/uat/220		
135	     ...       	      	Barium Star                               	http://astrothesaurus.org/uat/135		
1327	     RC*       	 RC?  	R CrB Variable                            	http://astrothesaurus.org/uat/1327		
0	     ...       	      	Dwarf Carbon Star                         	http://astrothesaurus.org/uat/0	N stars=1085	
2105	     ...       	      	Carbon-Enhanced Metal Poor Star           	http://astrothesaurus.org/uat/2105		
	Binaries and Double Stars			http://astrothesaurus.org/uat/		
1081	   **          	 **?  	Double or Multiple Star                   	http://astrothesaurus.org/uat/1081	binary stars=154	
455	   El*         	[El?] 	Ellipsoidal Variable                      	http://astrothesaurus.org/uat/455		
444	   EB*         	 EB?  	Eclipsing Binary                          	http://astrothesaurus.org/uat/444		
24	     Al*       	      	Eclipsing Binary of Algol type            	http://astrothesaurus.org/uat/24		
