"teide-observatory-spain";1;"Teide Observatory, Spain";"The Teide Observatory, located on Mount Teide in Tenerife, Spain at an altitude of 2390 meters, has been operated by the Instituto de Astrofísica de Canarias since 1964. It is known for its excellent astronomical seeing conditions and houses multiple telescopes from various countries.";skos:sameAs("https://wikidata.org/wiki/Q2013047") skos:sameAs(https://wikidata.org/wiki/Q2013047) skos:altLabel(泰德天文台) skos:altLabel(Izaña-Observatorium) skos:altLabel(Teideobservatoriet) skos:altLabel(Teide) skos:altLabel(954 TEN) skos:altLabel(Teide Observatorium) skos:altLabel(Observatorio de Izaña) skos:altLabel(Teideko Behatokia) skos:altLabel(泰德天文臺) skos:altLabel(osservatorio del Teide) skos:altLabel(Teide-Observatorium) skos:altLabel(泰德峰天文臺) skos:altLabel(Observatorio del teide) skos:altLabel(Observatoř Teide) skos:altLabel(observatoire astronomique de Ténérife) skos:altLabel(Observatorio de Tejdo) skos:altLabel(Observatorio del Teide) skos:altLabel(Обсерватория Тейде) skos:altLabel(Izana-Observatorium) skos:altLabel(テイデ天文台) skos:altLabel(泰德峰天文台) skos:altLabel(Teide Observatoire) skos:altLabel(Observatorio de Izana) skos:altLabel(مرصد تيد) skos:altLabel(Observatori del Teide) skos:altLabel(Teide Observatory) 
"0-35m-bradford-robotic-telescope-at-teide-observatory-spain";2;"0.35m Bradford Robotic Telescope at Teide Observatory, Spain";"An autonomous astronomical telescope at Teide Observatory in Tenerife, Spain, owned by the University of Bradford. Built for remote use by schools and individuals worldwide, it has provided over 70,000 images and has more than 23,000 users as of November 2009.";skos:sameAs("https://wikidata.org/wiki/Q896949") skos:sameAs(https://wikidata.org/wiki/Q896949) skos:altLabel(Bradford Robotische Telescoop) skos:altLabel(Bradford Robotic Telescope) skos:altLabel(Teileascóp Róbatach Bradford) 
"three-1-0m-telescopes-at-teide-observatory-spain";2;"Three 1.0m Telescopes at Teide Observatory, Spain";"Three 1.0m telescopes dedicated to searching for habitable planets orbiting ultra-cool stars, located at Teide Observatory in Spain."; skos:altLabel(Search for habitable Planets EClipsing ULtra-cOOl Stars (SPECULOOS ) Northern Observatory three 1 meter telescopes) skos:altLabel(Search for habitable Planets EClipsing ULtra-cOOl Stars Northern Observatory three 1 meter telescopes at the Teide Observatory) skos:altLabel(Search for habitable Planets EClipsing ULtra-cOOl Stars (SPECULOOS ) Northern Observatory three 1 meter telescopes at the Teide Observatory) 
"two-meter-twin-telescope-facility-at-teide-observatory";2;"Two-meter Twin Telescope facility at Teide Observatory";"The Two-meter Twin Telescope facility at Teide Observatory, operated by the Instituto de Astrofísica de Canarias (IAC), is a telescope located in Africa."; skos:altLabel(The Instituto de Astrofísica de Canarias (IAC) Two-meter Twin Telescope facility at the Teide Observatory) skos:altLabel(The Instituto de Astrofísica de Canarias (IAC) Two-meter Twin Telescope facility) skos:altLabel(The Instituto de Astrofísica de Canarias Two-meter Twin Telescope facility at the Teide Observatory) 
"0-4m-vacuum-newtonian-telescope-at-teide-observatory-spain";2;"0.4m Vacuum Newtonian Telescope at Teide Observatory, Spain";"The 0.4m Vacuum Newtonian Telescope is a solar observing telescope with an aperture of 0.4 meters, located at the Teide Observatory in Spain."; skos:altLabel(0.4m Vacuum Newtonian Telescope (VNT)) skos:altLabel(0.4m Vacuum Newtonian Telescope at Observatorio del Teide) skos:altLabel(0.4m Vacuum Newtonian Telescope) skos:altLabel(0.4m Vacuum Newtonian Telescope (VNT) at Observatorio del Teide) 
"0-7m-vacuum-tower-telescope-at-teide-observatory-spain";2;"0.7m Vacuum Tower Telescope at Teide Observatory, Spain";"The 0.7m Vacuum Tower Telescope at Teide Observatory, Spain is a telescope dedicated to observing the Sun and operated by the Kiepenheuer Institute for Solar Physics (KIS)."; skos:altLabel(Kiepenheuer-Institut fur Sonnenphysik 0.70m Vacuum Tower Telescope at Observatorio del Teide) skos:altLabel(Kiepenheuer-Institut fur Sonnenphysik (KIS) 0.70m Vacuum Tower Telescope) skos:altLabel(Kiepenheuer-Institut fur Sonnenphysik (KIS) 0.70m Vacuum Tower Telescope at Observatorio del Teide) 
"0-9m-telescope-heliographique-pour-l-etude-du-magnetisme-et-des-instabilites-solaires-at-teide-observatory-spain";2;"0.9m Telescope Heliographique pour l'Etude du Magnetisme et des Instabilites Solaires at Teide Observatory, Spain";"A solar facility with an aperture of 0.9 meters, the THEMIS telescope at Teide Observatory studies solar magnetism and instabilities."; skos:altLabel(Centre National de la Recherche Scientifique National Institute for Astrophysics 0.9m Telescope Heliographique pour l'Etude du Magnetisme et des Instabilites Solaires Telescope at Observatorio del Teide) skos:altLabel(Centre National de la Recherche Scientifique (CNRS)/National Institute for Astrophysics (INAF) 0.9m Telescope Heliographique pour l'Etude du Magnetisme et des Instabilites Solaires (THEMIS) Telescope at Observatorio del Teide) skos:altLabel(Centre National de la Recherche Scientifique (CNRS)/National Institute for Astrophysics (INAF) 0.9m Telescope Heliographique pour l'Etude du Magnetisme et des Instabilites Solaires (THEMIS) Telescope) 
"1-0m-optical-ground-station-at-teide-observatory-spain";2;"1.0m Optical Ground Station at Teide Observatory, Spain";"The ESA Optical Ground Station (OGS Telescope) at Teide Observatory in Spain is a ground-based observatory operated by the European Space Agency for monitoring space debris. It features a 1.0m Ritchey–Chrétien optical telescope with a focal length of 13.3 meters, and it is managed by the IAC (Instituto de Astrofísica de Canarias) and Ataman Science S.L.U..";skos:sameAs("https://wikidata.org/wiki/Q5154962") skos:sameAs(https://wikidata.org/wiki/Q5154962) skos:altLabel(Telescópio de detritos espaciais ESA) skos:altLabel(ஐவிநி விண்வெளிக் கழிவுகள் தொலைநோக்கி) skos:altLabel(Optical Ground Station) skos:altLabel(Telescópio de detrito espacial da ESA) skos:altLabel(ESA Space Debris Telescope) skos:altLabel(ESA Optical Ground Station) skos:altLabel(Space Debris Telescope) skos:altLabel(Télescope OGS) skos:altLabel(Telescópio de detrito espacial ESA) skos:altLabel(ESA光学地上局) skos:altLabel(Telescópio de Detritos Espaciais da Agência Espacial Européia) skos:altLabel(Space Debris Telescope ESA) skos:altLabel(Telescópio de detritos espaciais da ESA) skos:altLabel(OGS Telescope) skos:altLabel(ESA Optical Ground Station, Tenerife) 
"1-5m-gregor-solar-telescope-at-teide-observatory-spain";2;"1.5m GREGOR Solar Telescope at Teide Observatory, Spain";"The GREGOR Solar Telescope at Teide Observatory is a 1.5-meter aperture telescope dedicated to solar observations, located in Africa."; skos:altLabel(1.5m GREGOR Solar Telescope) skos:altLabel(1.5m GREGOR Solar Telescope at Observatorio del Teide) 
"1m-gregory-coude-telescope-at-teide-observatory";2;"1m Gregory Coude Telescope at Teide Observatory";"The 1m Gregory Coude Telescope at Teide Observatory, located in Africa, is a solar observation telescope operated by the Instituto de Astrofísica de Canarias."; skos:altLabel(Instituto de Astrofisica de Canarias Gregory Coude Telescope at Observatorio del Teide) skos:altLabel(Instituto de Astrofisica de Canarias Gregory Coude Telescope) 
